Messort_Code;Messort_Name;Messort_Typ;Latitude;Longitude;Latitude_WGS84;Longitude_WGS84;X_LV95;Y_LV95;Messintervall;Gemeinde;Strasse_Nr;PLZ
57;Kloten-Hinterwiden;Schulhaus;47 26 45.9;8 34 32.3;47.44608333;8.575638889;2685755;1255653;Einmalige Messung;Kloten;NA;NA
58;Kloten-Spitz;Schulhaus;47 26 39.8;8 35 11.6;47.44438889;8.586555556;2686581;1255477;Einmalige Messung;Kloten;NA;NA
59;Lufingen-Gsteig;Schulhaus;47 28 59.9;8 35 22.0;47.48330556;8.589444444;2686736;1259807;Einmalige Messung;Lufingen;NA;NA
60;Oberembrach Primarschule;Schulhaus;47 29 15.4;8 36 59.9;47.48761111;8.616638889;2688778;1260316;Einmalige Messung;Oberembrach;NA;NA
61;Opfikon-Mettlen;Schulhaus;47 25 52.2;8 34 31.4;47.43116667;8.575388889;2685760;1253995;Einmalige Messung;Opfikon;NA;NA
62;Rafz-Götzen;Schulhaus;47 36 48.4;8 32 21.3;47.61344444;8.53925;2682750;1274221;Einmalige Messung;Rafz;NA;NA
63;Rafz-Schalmenacker;Schulhaus;47 36 23.3;8 32 20.4;47.60647222;8.539;2682742;1273446;Einmalige Messung;Rafz;NA;NA
64;Wallisellen-Mösli;Schulhaus;47 24 46.1;8 36 18.0;47.41280556;8.605;2688025;1251986;Einmalige Messung;Wallisellen;NA;NA
65;Wallisellen-West;Schulhaus;47 25 03.4;8 35 22.4;47.41761111;8.589555556;2686851;1252503;Einmalige Messung;Wallisellen;NA;NA
66;Wil-Schule Dorf;Schulhaus;47 36 16.5;8 30 28.8;47.60458333;8.508;2680414;1273203;Einmalige Messung;Wil;NA;NA
67;Winkel_Schulhaus_Grossacher;Schulhaus;47 29 16.0;8 33 28.6;47.48777778;8.557944444;2684355;1260270;Einmalige Messung;Winkel;NA;NA
68;Bachs;Schulhaus;47 31 24.5;8 26 26.2;47.52347222;8.440611111;2675462;1264118;Einmalige Messung;Bachs;NA;NA
69;Dielsdorf-Früebli;Schulhaus;47 28 51.2;8 27 18.5;47.48088889;8.455138889;2676617;1259398;Einmalige Messung;Dielsdorf;NA;NA
70;Dielsdorf-Gumpenwiesen;Schulhaus;47 28 40.6;8 27 29.5;47.47794444;8.458194444;2676852;1259074;Einmalige Messung;Dielsdorf;NA;NA
71;Dällikon-Leepünt;Schulhaus;47 26 17.3;8 26 22.2;47.43813889;8.4395;2675499;1254630;Einmalige Messung;Dällikon;NA;NA
72;Höri-Weiher;Schulhaus;47 30 30.9;8 30 21.5;47.50858333;8.505972222;2680407;1262528;Einmalige Messung;Höri;NA;NA
73;Niederglatt-Eichi;Schulhaus;47 29 39.7;8 29 57.5;47.49436111;8.499305556;2679926;1260940;Einmalige Messung;Niederglatt;NA;NA
74;Niederglatt-Rietlen;Schulhaus;47 29 28.5;8 29 55.2;47.49125;8.498666667;2679882;1260594;Einmalige Messung;Niederglatt;NA;NA
75;Niederhasli-Rossacker;Schulhaus;47 28 45.5;8 29 06.9;47.47930556;8.48525;2678889;1259252;Einmalige Messung;Niederhasli;NA;NA
